Q_ID	Quote text	C_ID	Chapter 	country_region	tag:harm	tag:operational_impact	tag:response_strategy	tag:governance	Contribution id	url
57	Les principes humanitaires fondamentaux d'impartialité, de neutralité et d'indépendance sont de plus en plus mis à l'épreuve par la prolifération des faux récits.	19	CH2	Lebanon	Societal			Principes humanitaires et neutralité	2.3	/fr/reports/wdr26/chapitre-02#lexpérience-de-la-croix-rouge-libanaise-en-matière-de-lutte-contre-les-informations-préjudiciables-dans-les-crises-humanitaires
58	Par-dessus tout, ses volontaires – dignes de confiance et ancrés dans les communautés locales – demeurent l'atout le plus efficace de l'organisation pour maintenir la confiance des communautés et assurer la continuité d'une réponse humanitaire fondée sur des principes et salvatrice.	19	CH2	Lebanon			Messagers de confiance et intermédiaires locaux		2.3	/fr/reports/wdr26/chapitre-02#lexpérience-de-la-croix-rouge-libanaise-en-matière-de-lutte-contre-les-informations-préjudiciables-dans-les-crises-humanitaires
76	Au Pérou, par exemple, des agents de santé ont été qualifiés de « diables blancs » et accusés d'apporter le virus dans les communautés. Ces croyances n'étaient pas simplement le fruit de la mésinformation – elles reflétaient des conceptions traditionnelles de la maladie et étaient exacerbées par un accès limité à des informations exactes et culturellement pertinentes.	17	CH2	Peru	Informationnel	Contraintes d'accès et risques d'acceptation			2.1	/fr/reports/wdr26/chapitre-02#la-confiance-la-mésinformation-et-le-pouvoir-des-relations-au-niveau-local-pour-faire-face-aux-crises
77	Pour faire face à ces difficultés, les autorités sanitaires se sont tournées vers la Société nationale – encourageant le dialogue pour découvrir et combler les différences de perceptions concernant la maladie et son traitement.	17	CH2	Peru			Partenariat et coordination		2.1	/fr/reports/wdr26/chapitre-02#la-confiance-la-mésinformation-et-le-pouvoir-des-relations-au-niveau-local-pour-faire-face-aux-crises
114	au Zimbabwe, les scores de neutralité ont chuté fortement… parmi la population générale et… parmi les bénéficiaires de l'aide. Dans ces contextes, le principe de neutralité risque d'être compromis par des récits contestés et des messages politisés, menaçant le fondement même de la confiance.	24	CH2	Zimbabwe	Societal			Principes humanitaires et neutralité	2.7	/fr/reports/wdr26/chapitre-02#la-confiance-dans-les-organisations-locales-demeure-malgré-lévolution-du-paysage-médiatique
3	Une autre source courante de méfiance était le recours à un langage peu clair ou trop technique. Des études menées en Eswatini, en Albanie et au Népal ont montré que les alertes précoces faisaient souvent appel à du jargon, à une terminologie peu familière ou n'étaient pas traduites dans les langues locales. Lorsque les messages sont difficiles à comprendre ou semblent sans rapport avec les réalités locales, ils deviennent inaccessibles – et la confiance s'effrite rapidement.	32	CH3	Albania, Nepal, Eswatini	Informationnel	Signaux de besoins et de demande faussés			3.5	/fr/reports/wdr26/chapitre-03#avertissements-fiables-action-opportune-remplacer-le-chaînon-manquant-dans-les-systèmes-dalerte-précoce
4	… l'accès à des informations précises et pratiques …[est]… crucial pour réduire l'exploitation et garantir des déplacements plus sûrs. Sans cela, de nombreux migrants sont contraints de s'appuyer sur des sources d'information non vérifiées. Comme l'a souligné un migrant en Australie : « … nous souffrons des informations peu fiables que nous fournissent les agents de migration, par exemple »	28	CH3	Australia	Informationnel; Financier/économique/lié à la privation		L'information comme aide humanitaire 		3.1	/fr/reports/wdr26/chapitre-03#impact-du-franchissement-des-frontières-sur-la-vérité-le-coût-humanitaire-de-la-mésinformation-dans-le-contexte-de-la-migration
5	La mésinformation et la désinformation concernant les migrants ont également un impact sur leur sécurité, leur dignité et leur bien-être en façonnant l'opinion publique et les politiques. … Dans les pays où les migrants sont dépeints comme des menaces, le discours public tend à soutenir des politiques migratoires plus restrictives et un accès réduit aux services essentiels, augmentant ainsi la vulnérabilité.	28	CH3		Social; Societal			Réglementation et cadres de politique publique 	3.1	/fr/reports/wdr26/chapitre-03#impact-du-franchissement-des-frontières-sur-la-vérité-le-coût-humanitaire-de-la-mésinformation-dans-le-contexte-de-la-migration
11	l'absence de distinction claire entre les alertes officielles et la mésinformation a créé de la confusion et sapé la confiance dans les avertissements. Sans formats reconnaissables ni attribution claire de la source, les personnes avaient du mal à vérifier quels messages étaient crédibles et quelles directives suivre.	32	CH3	Brazil	Informationnel 	Signaux de besoins et de demande faussés			3.5	/fr/reports/wdr26/chapitre-03#avertissements-fiables-action-opportune-remplacer-le-chaînon-manquant-dans-les-systèmes-dalerte-précoce
15	La nette différence de sentiment public à l'égard des dirigeants locaux par rapport aux figures institutionnelles reflétait des dynamiques complexes, et il n'est pas toujours évident de savoir dans quelle mesure la réaction est spontanée ou coordonnée.	30	CH3	Burkina Faso	Informationnel 				3.3	/fr/reports/wdr26/chapitre-03#les-moteurs-de-la-confiance-au-niveau-communautaire
32	Ces programmes sont les plus efficaces lorsqu'ils sont animés par des membres de confiance de la communauté et des volontaires, co-construits avec les communautés et alignés sur les pratiques culturelles locales.	37	CH3	France, Senegal, Guinea, Madagacar, Comoros			Messagers de confiance et intermédiaires locaux; Engagement communautaire et redevabilité 		3.10	/fr/reports/wdr26/chapitre-03#rumeurs-et-mésinformation-encas-dépidémie-lexpérience-de-la-fondation-croix-rouge-française
61	« Personnellement, ce qu'il faut faire pour réduire les fausses informations et renforcer la préparation aux risques, c'est encourager les gens au quotidien, sans attendre que le danger survienne, en les informant sur ce qu'il faut faire lorsqu'un cyclone frappe. Et aussi organiser des formations pour le plus grand nombre possible de personnes »	-	CH3	Madagascar			Engagement communautaire et redevabilité; Démystification préventive et résilience narrative 		3.5	/fr/reports/wdr26/chapitre-03#avertissements-fiables-action-opportune-remplacer-le-chaînon-manquant-dans-les-systèmes-dalerte-précoce
66	« La démystification est plus efficace lorsqu'elle est personnelle, contextuelle et fondée sur la confiance. Former les futurs travailleurs de première ligne à répondre efficacement après la propagation de contrefaçons renforce la capacité institutionnelle à long terme. Le modèle est reproductible – en particulier dans les contextes où la mésinformation est déjà répandue et où un engagement direct avec la communauté est possible »	35	CH3	Moldova			Démystification et communication corrective		3.8	/fr/reports/wdr26/chapitre-03#former-des-étudiants-en-médecine-de-la-république-de-moldova-à-la-démystification-de-la-mésinformation-sur-les-vaccins
67	des étudiants formés sont allés de porte en porte pour s'entretenir directement avec les membres de la communauté, corrigeant les mythes sur la vaccination et partageant des informations exactes à travers un dialogue ouvert et conversationnel.	35	CH3	Moldova			Suivi des rumeurs et alerte précoce; Démystification et communication corrective		3.6	/fr/reports/wdr26/chapitre-03#renforcer-la-confiance-linclusion-et-lengagement-des-communautés-dans-lalerte-précoce-et-laction-rapide
69	Lors de la dernière saison des moussons, par exemple, les communautés en amont ont surveillé les précipitations et alerté les communautés en aval pour qu'elles prennent des mesures immédiates, sauvant ainsi des vies.	33	CH3	Nepal			Engagement communautaire et redevabilité; Suivi des rumeurs et alerte précoce		3.6	/fr/reports/wdr26/chapitre-03#renforcer-la-confiance-linclusion-et-lengagement-des-communautés-dans-lalerte-précoce-et-laction-rapide
70	la mentalité des gens a évolué de réactive à proactive, permettant une action plus précoce basée sur des informations fiables et localisées et une confiance croissante en leur capacité à répondre. Lorsqu'une communauté est soudée et habilitée à conduire son propre développement, ses membres deviennent des acteurs actifs de la résilience. Cet empowerment se diffuse dans l'ensemble de la communauté, la rendant plus sûre et plus résiliente pour tous.	33	CH3	Nepal			Engagement communautaire et redevabilité		3.6	/fr/reports/wdr26/chapitre-03#renforcer-la-confiance-linclusion-et-lengagement-des-communautés-dans-lalerte-précoce-et-laction-rapide
80	l'accent était mis sur l'identification des premiers signaux d'hésitation et la compréhension des facteurs psychologiques, tels que le biais de confirmation, qui rendent certains récits plus persuasifs que d'autres.	34	CH3	Scotland			Suivi des rumeurs et alerte précoce		3.7	/fr/reports/wdr26/chapitre-03#utilisation-de-lécoute-sociale-pour-guider-les-stratégies-de-démystification-préventive-en-écosse
81	La démystification préventive fonctionne mieux lorsqu'elle s'appuie sur des données en temps réel.	34	CH3	Scotland			Démystification préventive et résilience narrative		3.7	/fr/reports/wdr26/chapitre-03#utilisation-de-lécoute-sociale-pour-guider-les-stratégies-de-démystification-préventive-en-écosse
105	Comme l'a expliqué un migrant au Royaume-Uni, « les gens sont très confus… ils n'obtiennent pas les bonnes informations… Ils ne savent pas quoi faire ni même où aller pour obtenir des informations… »	28	CH3	United Kingdom of Great Britain and Northern Ireland	Psychologique; Informationnel	Signaux de besoins et de demande faussés			3.1	/fr/reports/wdr26/chapitre-03#impact-du-franchissement-des-frontières-sur-la-vérité-le-coût-humanitaire-de-la-mésinformation-dans-le-contexte-de-la-migration
108	Pour dissiper la confusion, la Société nationale a publié un démenti public direct, à l'aide d'un simple graphique sur les réseaux sociaux et d'une déclaration claire sur son site web pour rétablir les faits – apportant ainsi de la clarté sans amplifier les faux récits.	31	CH3	United States of America			Démystification et communication corrective		3.4	/fr/reports/wdr26/chapitre-03#déferlante-de-mésinformation-après-louragan-hélène
109	À l'instar de la planification logistique avant une tempête, la Société nationale continue de surveiller les tendances en ligne et les mentions sur les réseaux sociaux, de lutter contre la mésinformation émergente, de déployer une narration proactive et de fournir des orientations internes aux employés et aux volontaires à des fins de sensibilisation et d'alignement.	31	CH3	United States of America			Suivi des rumeurs et alerte précoce; Démystification préventive et résilience narrative		3.4	/fr/reports/wdr26/chapitre-03#déferlante-de-mésinformation-après-louragan-hélène
8	La mésinformation et la désinformation circulent dans et autour des camps via les plateformes couramment utilisées : Facebook, WhatsApp/IMO, YouTube/TikTok, ainsi que le partage de téléphone à téléphone hors ligne (Bluetooth/SHAREit). Malgré les efforts déployés par les organisations humanitaires pour mettre en place des initiatives de suivi des rumeurs à Cox's Bazar pour contrer ces dynamiques, celles-ci ont été reléguées au second plan lors de successives réductions de financement depuis 2021.	39	CH4	Bangladesh	Informationnel 	Efficacité des programmes et redevabilité	Suivi des rumeurs et alerte précoce		4.2	/fr/reports/wdr26/chapitre-04#conséquences-de-la-mésinformation-et-de-la-désinformation-sur-la-population-rohingya-au-bangladesh-et-témoignages-tirés-dentretiens-récents
12	Les causes et les campagnes de la Croix-Rouge bulgare jouissent d'une grande visibilité et d'une forte notoriété, ainsi que d'une solide confiance de la part des grandes entreprises, et elle occupe une position dominante par rapport aux autres organisations caritatives au niveau national – un avantage qui doit être préservé.	44	CH4	Bulgaria	Societal				4.6	/fr/reports/wdr26/chapitre-04#réactions-négatives-à-une-campagne
13	Les réactions négatives ont été déclenchées par la politique de l'organisation consistant à n'accepter que des articles neufs lors de sa campagne publique de dons destinée aux personnes touchées par le conflit arrivant en Bulgarie. Les critiques portaient principalement sur le refus des articles d'occasion et risquaient de saper la confiance du public.	44	CH4	Bulgaria	Societal				4.6	/fr/reports/wdr26/chapitre-04#réactions-négatives-à-une-campagne
18	Les résultats ont montré que de nombreuses personnes considéraient la réponse globale de la Croix-Rouge canadienne comme lente ou mal gérée – des perceptions étroitement alignées sur les récits de mésinformation dirigés contre l'organisation durant la réponse.	41	CH4	Canada	Societal	Efficacité des programmes et redevabilité			4.4	/fr/reports/wdr26/chapitre-04#maintenir-la-confiance-en-période-de-crise-et-face-à-des-informations-préjudiciables
23	Les volontaires du Croissant-Rouge des Comores ont envoyé près de 2 900 alertes via Nyss®, recevant des messages personnalisés approuvés par le Ministère de la Santé en français, aidant les communautés à agir rapidement et à amener les patients aux centres de traitement plus tôt.	49	CH4	Comoros			Démystification préventive et résilience narrative		4.11	/fr/reports/wdr26/chapitre-04#combler-le-fossé-utiliser-la-technologie-pour-aider-les-volontaires-communautaires-à-lutter-contre-la-mésinformation-instaurer-la-confiance-et-réduire-les-épidémies
39	les volontaires reçoivent des informations sanitaires exactes approuvées par le Ministère de la Santé à partager localement avec les membres de la communauté, contrant ainsi les rumeurs, promouvant la prévention et encourageant une prise en charge médicale en temps opportun.	49	CH4	Fiji			Démystification et communication corrective; Messagers de confiance et intermédiaires locaux		4.11	/fr/reports/wdr26/chapitre-04#combler-le-fossé-utiliser-la-technologie-pour-aider-les-volontaires-communautaires-à-lutter-contre-la-mésinformation-instaurer-la-confiance-et-réduire-les-épidémies
47	l'Observatoire national pour la protection de l'emblème a préparé un « message de plaidoyer » à envoyer depuis les comptes des réseaux sociaux de la Croix-Rouge italienne aux utilisateurs ayant publié du contenu impliquant une utilisation abusive de l'emblème… [avec] des informations sur l'utilisation correcte de l'emblème, l'importance de le respecter et les implications humanitaires de son utilisation abusive.	38	CH4	Italy			Démystification et communication corrective	Principes humanitaires et neutralité	4.1	/fr/reports/wdr26/chapitre-04#rôle-de-lobservatoire-national-et-stratégies-pour-lutter-contre-lutilisation-abusive-de-lemblème
50	L'action humanitaire repose sur la confiance. Lorsque des informations préjudiciables circulent, elles mettent des vies en danger et sapent la neutralité qui nous permet d'atteindre les personnes en crise. Lutter contre la mésinformation n'est pas facultatif, c'est une priorité pour protéger les communautés et faire en sorte qu'elles reçoivent l'aide qu'elles méritent.	43	CH4	Kenya	Societal	Efficacité des programmes et redevabilité		Principes humanitaires et neutralité	4.5	/fr/reports/wdr26/chapitre-04#kenya-manifestations-de-la-génération-z-en-2024
71	Choisir de ne pas s'engager dans des « arguments et des débats réactifs » mal informés était important pour la Croix-Rouge néo-zélandaise. C'était un travail difficile et douloureux, exigeant du temps, des efforts et de la patience – mais cela en valait la peine. Bien que le sentiment public ait été initialement affecté négativement, aujourd'hui le sentiment public positif envers la Société nationale est encore plus fort qu'il ne l'était avant 2022.	40	CH4	New Zealand	Societal		Démystification préventive et résilience narrative		4.3	/fr/reports/wdr26/chapitre-04#croix-rouge-néo-zélandaise-observations-tirées-de-lintervention-menée-en-2022-suite-aux-phénomènes-météorologiques-extrêmes-dans-lîle-du-nord
72	À une époque où une seule publication virale peut annuler des années de bonne volonté, l'intégrité numérique doit être traitée comme une mission essentielle. C'est notre nouvelle normalité.	40	CH4	New Zealand	Numérique/technologique				4.3	/fr/reports/wdr26/chapitre-04#croix-rouge-néo-zélandaise-observations-tirées-de-lintervention-menée-en-2022-suite-aux-phénomènes-météorologiques-extrêmes-dans-lîle-du-nord
82	Les informations préjudiciables constituent une menace omniprésente et souvent invisible – aussi bien en ligne qu'hors ligne. … Elles peuvent affecter la santé mentale, réduire la motivation à poursuivre le travail humanitaire et même accroître la vulnérabilité aux théories du complot.	47	CH4	Slovakia	Psychologique; Informationnel				4.9	/fr/reports/wdr26/chapitre-04#renforcer-la-résilience-de-lintérieur
83	Nous avons collaboré avec un expert slovaque en pensée critique pour élaborer des réponses appropriées aux scénarios courants liés à la désinformation rencontrés par notre personnel et nos volontaires sur le terrain.	47	CH4	Slovakia			Partenariat et coordination		4.9	/fr/reports/wdr26/chapitre-04#renforcer-la-résilience-de-lintérieur
84	la Société nationale a constitué un comité de communication de crise composé du secrétaire général, du responsable de la communication, du coordonnateur de la sécurité et des opérations sur le terrain, du coordonnateur des partenariats et de représentants du centre des opérations d'urgence.	48	CH4	South Sudan			Partenariat et coordination		4.10	/fr/reports/wdr26/chapitre-04#préparation-à-la-communication-de-crise-à-la-croix-rouge-du-soudan-du-sud
85	Récemment, un commandant d'un groupe de milice affilié au gouvernement a porté une veste de la Croix-Rouge du Soudan du Sud arborant le logo de la Société nationale et, dans une vidéo enregistrée, a décrit leurs opérations dans la région du Nil supérieur. La vidéo est devenue virale, suscitant de vives réactions.	48	CH4	South Sudan	Societal 	Efficacité des programmes et redevabilité		Principes humanitaires et neutralité	4.10	/fr/reports/wdr26/chapitre-04#préparation-à-la-communication-de-crise-à-la-croix-rouge-du-soudan-du-sud
86	Dans le cas de l'utilisation abusive de l'emblème, la Croix-Rouge du Soudan du Sud a choisi de ne pas s'engager avec les médias, car la publication n'avait pas attiré une attention médiatique significative. À la place, la communication interne et l'engagement des partenaires ont été privilégiés pour gérer le risque réputationnel et maintenir la confiance de manière proactive.	48	CH4	South Sudan		Contraintes d'accès et risques d'acceptation; Efficacité des programmes et redevabilité	Partenariat et coordination		4.10	/fr/reports/wdr26/chapitre-04#préparation-à-la-communication-de-crise-à-la-croix-rouge-du-soudan-du-sud
97	Malgré ce système transparent, éthique et fondé sur des principes humanitaires, des affirmations trompeuses et fausses telles que « le sang donné est vendu » circulent occasionnellement en ligne.	45	CH4	Türkiye	Societal; Informationnel	Contraintes d'accès et risques d'acceptation			4.7	/fr/reports/wdr26/chapitre-04#le-système-national-dapprovisionnement-en-sang-du-croissant-rouge-turc-garantir-la-sécurité-la-transparence-et-la-durabilité
31	L'éducation aux médias en Finlande est diversifiée et largement mise en œuvre. Les écoles, les autorités publiques, les institutions culturelles, les ONG et les acteurs du secteur privé contribuent tous à la promotion et au développement de l'éducation aux médias.	63	CH5	Finland			Partenariat et coordination		5.13	/fr/reports/wdr26/chapitre-05#pourquoi-la-finlande-est-elle-un-précurseur-en-matière-déducation-aux-médias
59	Les coupures d'Internet contraignent les gens à des bulles d'information fragmentées ou peu fiables, les privant de la possibilité de vérifier ou même d'accéder à des informations potentiellement vitales. Parallèlement, la dégradation des contenus dans l'écosystème informationnel peut rendre l'accès à l'information inefficace ou même dangereux.	52	CH5	Libya	Informationnel; Numérique/technologique				5.2	/fr/reports/wdr26/chapitre-05#impacts-humanitaires-de-la-pollution-numérique-le-cas-de-la-libye
60	Alors que les initiatives locales peinent à rester à flot, des acteurs hostiles s'engouffrent dans le vide, motivés par des intérêts politiques ou financiers. Dans certains cas, ces acteurs proposent des financements assortis de conditions incompatibles avec les principes humanitaires.	52	CH5	Libya	Societal; Financier/économique/lié à la privation	Efficacité des programmes et redevabilité		Principes humanitaires et neutralité	5.2	/fr/reports/wdr26/chapitre-05#impacts-humanitaires-de-la-pollution-numérique-le-cas-de-la-libye
106	Pourtant, la désinformation dans l'espace humanitaire est en croissance. Le Royaume-Uni s'attaque directement à cette tendance préoccupante – via notre siège dans les principales instances multilatérales, nos canaux diplomatiques et notre aide financée par le Royaume-Uni.	57	CH5	United Kingdom of Great Britain and Northern Ireland			Partenariat et coordination; Engagement communautaire et redevabilité		5.7	/fr/reports/wdr26/chapitre-05#engagement-du-royaume-uni-à-protéger-laction-humanitaire-contre-les-informations-préjudiciables
107	Nous investissons également dans la recherche, notamment dans un projet récent mené avec Grand Challenges Canada, qui a mis en évidence l'importance de travailler avec les communautés pour renforcer la confiance, accroître la résilience et autonomiser le leadership local, ainsi que d'identifier des innovations technologiques évolutives et adaptables.	57	CH5	United Kingdom of Great Britain and Northern Ireland			Engagement communautaire et redevabilité		5.7	/fr/reports/wdr26/chapitre-05#engagement-du-royaume-uni-à-protéger-laction-humanitaire-contre-les-informations-préjudiciables
9	« Ils avaient les mêmes informations d'autres médecins… mais ils croyaient toujours ce que leurs proches leur disaient… leur [raisonnement était] : si la COVID ressemblait à un rhume et que dans le passé les plantes médicinales les avaient guéris, on pouvait faire de même avec la COVID… nous ne sommes pas irrationnels, nous continuons à nous appuyer sur des faits et des expériences. »	69	CH6	Bolivia			Messagers de confiance et intermédiaires locaux		X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
16	La confiance au sein des communautés est fluctuante. … Néanmoins, les liens étroits restent des repères importants, même si la circulation rapide des informations de bouche à oreille peut à la fois renforcer la solidarité et semer la méfiance.	69	CH6	Cameroon	Social				X.3	/fr/reports/wdr26/chapitre-06#ce-que-disent-les-communautés-informations-issues-dune-recherche-originale
19	Grâce au cadre, [la Société nationale] continue de cheminer aux côtés des communautés autochtones en renforçant la confiance, en consolidant les capacités locales et en veillant à ce que l'action humanitaire reste centrée sur les personnes, culturellement sûre et guidée par les priorités des communautés qu'elle sert.	68	CH6	Canada			Engagement communautaire et redevabilité		6.4	/fr/reports/wdr26/chapitre-06#la-désinformation-a-alimenté-les-attaques-contre-les-activités-humanitaires-lors-des-manifestations-de-2019-en-équateur
